S/N ,Designator ,Quantity ,Manufacturer Part Number ,Procurement Type ,Customer Note 
1,"C1,C2,C3,C4",4,CL10A225KB8NNNC,,C913904
2,"C5,C13,C14,C16,C18",5,CL10B104KB8NNNC,,C1591
3,C6,1,CL10B472KB8NNNC,,C1621
4,C7,1,CL10C470JB8NNNC,,C1671
5,"C8,C9,C10,C11,C12,C17",6,CL21A226MAYNNNE,,C602037
6,C15,1,CL10B224KB8NNNC,,C64705
7,C19,1,CL10B103KB8NNNC,,C1589
8,"D1,D6",2,SS54,,C5199108
9,D2,1,MMSZ5231BT1G,,C66198
10,"D3,D4",2,XL-1608UYC-06,,C965802
11,D5,1,MBRD20100CT-13,,C460890
12,"F1,F2,F3",3,SMD2920-500/24N,,C6165172
13,"H1,H2,H3,H4",4,,DNP,
14,J1,1,DC-470-2.1GP,,C194407
15,"J2,J3,J4",3,WJ500V-5.08-2P,,C8465
16,JP1,1,,DNP,
17,"L1,L2",2,VLS6045EX-100M,,C360734
18,Q1,1,DMP4051LK3-13,,C397952
19,Q2,1,NTF6P02T3G-VB,,C558214
20,Q3,1,"2N7002,215",,C65189
21,"Q4,Q5",2,AO4407A,,C2841482
22,R1,1,0603WAF4423T5E,,C23175
23,R2,1,FRC0603F9092TS,,C2930136
24,R3,1,FRC0603F2433TS,,C7467321
25,R4,1,FRC0603F1692TS,,C2933158
26,R5,1,FRC0603F49R9TS,,C2930110
27,R6,1,FRC0603J333 TS,,C2907153
28,R7,1,FRC0603J222 TS,,C2907117
29,"R8,R11,R15",3,FRC0603J104 TS,,C2907088
30,R9,1,FRC0603F1004TS,,C2907003
31,R10,1,FRC0603F3603TS,,C2907029
32,"R12,R16,R22,R23,R24,R26",6,FRC0603J103 TS,,C2930027
33,R13,1,FRC0603J121 TS,,C2907096
34,R14,1,PT2512FK-7W0R12L,,C875871
35,"R17,R18,R19",3,FRC0603F4702TS,,C2907042
36,R20,1,FRC0603F1502TS,,C2906995
37,R21,1,FRC0603J472 TS,,C2907166
38,R25,1,FRC0603J100 TS,,C2907091
39,"TP1,TP5,TP6,TP7,TP8,TP9",6,,DNP,
40,"TP10,TP11",2,,DNP,
41,U1,1,TPS54360DDAR,,C44377
42,U2,1,CN3767,,C81968
43,U3,1,TL431AIDBZR,,C23892
44,U4,1,LM393DR,,C67470
