Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0603,4,2u2,C913904
"C10, C11, C12, C17, C8, C9",0805,6,47u,C602037
"C13, C14, C16, C18, C5",0603,5,100n,C1591
C15,0603,1,220n,C64705
C19,0603,1,10n,C1589
C6,0603,1,4n7,C1621
C7,0603,1,47p,C1671
"D1, D6",D_SMC,2,SS54,C5199108
D2,D_SOD-123,1,5V1,C66198
"D3, D4",0603,2,LED,C965802
D5,TO-252-2,1,MBRD20100CT,C460890
"F1, F2, F3",2920,3,500/24N,C6165172
J1,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack_Switch,C194407
"J2, J3, J4",TerminalBlock_RND_205-00232_1x02_P5.08mm_Horizontal,3,Screw_Terminal_01x02,C8465
JP1,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,MPPT,
"L1, L2",L_Taiyo-Yuden_NR-60xx,2,10u,C360734
Q1,TO-252-2,1,DMP4051LK3-13,C397952
Q2,SOT-223-3_TabPin2,1,NTF6P02,C154901
Q3,SOT-23,1,2N7002,C65189
"Q4, Q5",SOP-8_3.9x4.9mm_P1.27mm,2,AO4407,C2841482
R1,0603,1,442k,C23175
R10,0603,1,360k,C2907029
"R11, R8",0603,2,100k,C2907088
"R12, R16, R22, R23, R24, R26",0603,6,10k,C2930027
R13,0603,1,120R,C2907096
R14,2512,1,0R12,C875871
R15,0603,1,100k,C99198
"R17, R18, R19",0603,3,47k,C2907042
R2,0603,1,90k9,C2930136
R20,0603,1,15k,C2906995
R21,0603,1,4k7,C2907166
R25,0603,1,10R,C2907091
R3,0603,1,243k,C7467321
R4,0603,1,16k9,C2933158
R5,0603,1,49R9,C2930110
R6,0603,1,33k,C2907153
R7,0603,1,2k2,C2907117
R9,0603,1,1M,C2907003
"TP10, TP11",TestPoint_Bridge_Pitch5.08mm_Drill1.3mm,2,TestPoint_Alt,
U1,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias,1,TPS54360DDA,C44377
U2,SSOP-10_3.9x4.9mm_P1.00mm,1,CN3767,C81968
U3,SOT-23,1,TL431AIDBZR,C23892
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,LM393,C67470
