Designator,Mid X,Mid Y,Rotation,Layer
C1,159.3,-107.8425,270.0,top
C10,158.65,-114.3425,180.0,top
C11,149.95,-84.2425,180.0,top
C12,149.95,-86.4425,180.0,top
C13,155.1,-84.0,0.0,top
C14,153.2,-94.5,0.0,top
C15,160.8,-94.5675,270.0,top
C16,141.2625,-97.0425,180.0,top
C17,141.0625,-99.0425,180.0,top
C18,138.4,-119.2425,270.0,top
C19,129.6,-114.1675,270.0,top
C2,157.6,-107.8675,270.0,top
C3,155.9,-107.8675,270.0,top
C4,154.2,-107.8675,270.0,top
C5,150.9,-111.8,180.0,top
C6,143.1,-109.6425,270.0,top
C7,141.5,-108.0425,270.0,top
C8,158.65,-118.7625,180.0,top
C9,158.65,-116.5625,180.0,top
D1,146.0,-117.2425,270.0,top
D2,157.4,-96.1,0.0,top
D3,161.3,-99.7875,270.0,top
D4,163.1,-99.7875,270.0,top
D5,139.9775,-90.8825,270.0,top
D6,160.35,-127.5425,270.0,top
F1,165.7,-109.3425,180.0,top
F2,152.9,-79.2425,180.0,top
F3,125.3,-99.8425,180.0,top
J1,166.6,-85.9425,90.0,top
J2,172.8425,-99.0475,90.0,top
J3,124.5575,-90.7375,270.0,top
J4,172.8425,-119.6025,90.0,top
L1,153.1,-116.5425,0.0,top
L2,147.55,-92.2425,0.0,top
Q1,141.3175,-79.77,180.0,top
Q2,152.05,-126.4425,0.0,top
Q3,129.6,-107.405,90.0,top
Q4,123.83,-118.5425,180.0,top
Q5,123.865,-108.9175,0.0,top
R1,155.125,-105.1425,0.0,top
R10,156.9,-98.5,0.0,top
R11,157.7,-100.8,270.0,top
R12,159.3,-100.8,270.0,top
R13,158.4,-93.7675,0.0,top
R14,147.1625,-98.2425,180.0,top
R15,152.4,-131.0425,0.0,top
R16,136.1,-108.2425,180.0,top
R17,129.675,-120.9425,0.0,top
R18,132.775,-120.9425,0.0,top
R19,135.875,-120.9425,0.0,top
R2,158.325,-105.1425,0.0,top
R20,136.1,-109.9425,180.0,top
R21,133.0,-109.9425,180.0,top
R22,138.4,-112.4425,270.0,top
R23,132.2,-106.9675,90.0,top
R24,129.6,-104.5675,180.0,top
R25,129.6,-111.0675,90.0,top
R26,128.0,-114.1675,270.0,top
R3,150.5,-104.4,180.0,top
R4,143.1,-106.5425,270.0,top
R5,162.2,-118.2425,0.0,top
R6,162.2,-116.5425,180.0,top
R7,162.2,-114.8425,0.0,top
R8,153.2,-96.1,0.0,top
R9,153.8,-98.5,0.0,top
U1,148.645,-108.0425,180.0,top
U2,155.5,-89.0,0.0,top
U3,135.4,-105.6,180.0,top
U4,134.5,-115.7425,180.0,top
